,Point,Assist,Rebound,Turnover,Start Ratio,MP,FGA,FGP,3PA,3PP,FTA,FTP,Steal,Block,Height,Weight,Position,College Name,Pick
212,7.1,0.7,5.1,1.5,0.7983870967741935,20.7,5.7,0.496,0.0,0.0,2.8,0.536,0.6,0.8,206.0,120.0,Forward,Minnesota,25.0
213,15.8,2.8,4.6,2.3,0.7380952380952381,30.0,13.0,0.449,4.8,0.342,3.4,0.731,1.4,0.8,193.0,87.0,Guard,New Mexico,26.0
214,9.6,6.4,3.0,2.8,0.9920634920634921,30.2,6.6,0.459,2.2,0.383,3.7,0.708,1.3,0.1,185.0,86.0,Guard,Kansas,27.0
215,14.1,2.3,7.3,3.2,1.0,30.7,10.2,0.456,0.8,0.21,6.5,0.699,1.5,0.6,198.0,102.0,Forward,Maryland,28.0
216,7.0,0.4,5.0,0.8,0.55,20.2,6.1,0.501,0.0,0.333,1.2,0.696,0.2,1.1,221.0,123.0,Center,UNC,29.0
217,14.4,2.5,6.4,2.3,0.9838709677419355,31.5,10.3,0.538,1.7,0.343,3.7,0.751,1.1,1.0,196.0,94.0,Forward,UCLA,31.0
218,16.0,2.5,4.5,2.4,0.9017857142857143,32.8,12.8,0.45,6.1,0.372,3.3,0.679,1.7,0.3,193.0,88.0,Guard,Florida State,36.0
219,17.7,3.4,7.0,3.8,0.72,33.4,15.0,0.421,5.0,0.308,5.2,0.672,1.9,1.3,206.0,111.0,Forward,Tulane,38.0
220,8.2,4.4,2.6,1.7,0.2564102564102564,24.0,6.1,0.466,1.4,0.404,2.6,0.725,1.2,0.2,190.0,86.0,Guard,College of Charleston,39.0
221,7.4,0.8,6.3,1.5,0.7786885245901639,26.2,5.5,0.55,0.0,0.4,2.3,0.591,0.7,1.5,206.0,96.0,Center,Georgia Tech,40.0
222,11.9,1.4,6.9,2.6,1.0,29.1,7.0,0.586,0.0,0.0,5.5,0.692,0.7,2.9,211.0,108.0,Center,Villanova,41.0
223,13.8,1.5,5.2,2.7,0.991869918699187,31.8,12.0,0.45,2.6,0.304,3.5,0.629,1.4,0.9,201.0,97.0,Forward,Memphis,44.0
224,10.3,6.6,2.0,3.0,0.5230769230769231,32.5,8.1,0.393,2.2,0.208,5.1,0.676,2.0,0.1,183.0,76.0,Guard,Providence,45.0
225,13.7,1.0,5.0,1.7,0.6428571428571429,25.6,10.9,0.435,6.1,0.386,2.4,0.785,1.3,0.5,193.0,86.0,Forward,Alabama,46.0
